Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo
Integración Estratégica Multigeneracional,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual
Introducción a la Transformación Digital,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual
Introducción a las Finanzas,Seminario,Posgrados y Educacion Continua,En línea,60 horas,Mensual
Legislación Fiscal y Laboral en la Industria de la Construcción,Seminario,Posgrados y Educacion Continua,En línea,9 horas,Mensual
Liderazgo Eficaz,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Machine Learning para la Toma de Decisiones,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Negociación y Manejo de Conflictos,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Norma ISO 9001:2015,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Planeación de Proyectos de Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual
Proyecto de Vida Plena,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual
Psicología Positiva,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Supply Chain Management,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual
Transformación Digital para la Toma de Decisiones,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual
Transición a una Cultura Organizacional Positiva,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual
Inteligencia Emocional,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable
Liderazgo y Empowerment,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable
Negociación y Manejo de Conflictos,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable
Preparación para el Examen de Certificación PMP®,Taller,Posgrados y Educacion Continua,Aula Virtual,35 horas,Variable
Coding Bootcamp,Bootcamp,Posgrados y Educacion Continua,En línea,480 horas,Variable
Data Analytics Bootcamp,Bootcamp,Posgrados y Educacion Continua,En línea,700 horas,Variable
ADN del Innovador (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Accountability Skills (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Administración de Costos,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Administración de Inventarios,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Agronomía para no Agrónomos,Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable
Análisis de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Aplicaciones Web para Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable
Aplicación de la Legislación Ambiental,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Aspectos Básicos de Ley General de Transparencia,Curso,Posgrados y Educacion Continua,Aula Virtual,32 horas,Variable
Automatic ML (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable
Bioequivalencia: Aspectos Científicos y Regulatorios,Curso,Posgrados y Educacion Continua,Aula Virtual,30 horas,Variable
Bioestadística Aplicada a Investigación Clínica e Industria,Curso,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable
Brand Management,Curso,Posgrados y Educacion Continua,Live,80 horas,Variable
Colaboración Efectiva (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Colaboración Organizacional (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas ,Variable
Comunicación Digital y Social Media,Curso,Posgrados y Educacion Continua,Live,90 horas,Variable
Conceptos Fundamentales de Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Conducta y Comunicación Financiera (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Core Strategic Marketing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Core Tools: Herramientas para la Manufactura,Curso,Posgrados y Educacion Continua,Live,50 horas,Variable
Cultura hacia la Innovación (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Customer Intelligence Essentials,Curso,Posgrados y Educacion Continua,Aula Virtual,64 horas,Variable
Deep Learning y Reinforcement Learning (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Desarrollo de Supervisiones que Transforman,Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable
Desarrollo de Talento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Design Thinking Workshop,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Digital Consumer (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Digital Marketing Analytics (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Digital Marketing Strategy (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Digital Marketing Tactics (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,52 horas,Variable
Diseñando Experiencias de Servicio Wow,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Diseño de Interfaces Visuales de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Educación Digital de Calidad para Educación Superior,Curso,Posgrados y Educacion Continua,En línea,21 horas,Variable
Emprendimiento Digital Innovador,Curso,Posgrados y Educacion Continua,Aula Virtual,68 horas,Variable
Enfoque Estratégico (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Engagement (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Estrategia Organizacional (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Estrategías para una Comunicación Efectiva,Curso,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable
Evaluación de los Estados Financieros; Inversión y Financiamiento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Excel Avanzado para negocios,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Excel para Negocios,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Extracción; Procesamiento y Manipulación de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Feminismo: Historia; Teoría y Práctica. Por un Mundo sin Violencia de Género,Curso,Posgrados y Educacion Continua,Aula Virtual,12 horas,Variable
Financial Planning and Risks (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Financial System Vision (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Finanzas para Recursos Humanos,Curso,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable
Finanzas para no Financieros,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Fundamentos de Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Fundamentos de Estadística para Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas ,Variable
Gestión de Cartera Comercial (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Gestión de la Innovación (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Gestión del Cambio (TLG),Curso,Posgrados y Educacion Continua,Live,80 horas,Variable
Gobernanza e innovación para la gestión local,Curso,Posgrados y Educacion Continua,Aula Virtual,42 horas,Variable
Historia del Arte Islámico,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable
Historia del Arte Mexicano. Del Muralismo a la Postmodernidad,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable
Historia del Arte: Arte Conceptual y Postmodernidad,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable
Historia del Arte: Historia del Arte Antiguo,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable
Historia del Arte: Historia del Arte Medieval,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable
Historia del Arte: La Modernidad en el Arte,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable
Inteligencia Comercial (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Inteligencia Emocional y Financiera,Curso,Posgrados y Educacion Continua,Aula Virtual,30 horas,Variable
Interfaces Visuales de Datos Interacticas (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Inversión y Financiamiento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,52 horas,Variable
Invirtiendo en la Bolsa,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Ley Anti Lavado de Dinero y Manejo de Efectivo,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Liderazgo Positivo (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Liderazgo para la Innovación,Curso,Posgrados y Educacion Continua,Live,80 horas,Variable
Liderazgo y Evaluación Comercial (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Machine Learning (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,62 horas,Variable
Machine Learning para Big Data (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Marketing Metrics (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Marketing Mix (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Marketing for all (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Medicamentos Biotecnológicos y Biocomparabilidad,Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable
Modelación Lineal de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable
Organizaciones Enfocadas en el Talento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Organizational Engagement (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Organizational Wellbeing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Pensamiento Estratégico (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Pensamiento de Futuros: Diseñando el Futuro de la Organización,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Personal Wellbeing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Plataformas de Visualización en Python (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Política educativa: sus desafíos urgentes en México,Curso,Posgrados y Educacion Continua,Aula Virtual,50 horas,Variable
Preparación a la Certificación Disciplined Agile® Scrum Master (DASM),Curso,Posgrados y Educacion Continua,Aula Virtual,32 horas,Variable
Preparación para el Examen de Certificación AMIB,Curso,Posgrados y Educacion Continua,Aula Virtual,25 horas,Variable
Preparación para la Certificación de AWS Cloud Practitioner,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
Procesamiento y Manejo de Datos con Python (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Procesamiento y Manipulación de Datos con Python (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Programación con Python,Curso,Posgrados y Educacion Continua,Aula Virtual,30 horas,Variable
Protección de Datos Personales,Curso,Posgrados y Educacion Continua,Aula Virtual,35 horas,Variable
Sensibilidad de Modelos Cuantitativos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Storytelling + Presentaciones Contundentes,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable
TPM Hands On Mantenimiento Autónomo y Planeado,Curso,Posgrados y Educacion Continua,Aula Virtual,56 horas,Variable
Talent Management (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable
Team Wellbeing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Tecnologías para Internet de las Cosas (IoT),Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable
Toxicología y Bioseguridad para Salud y Biotecnología,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable
Urbanismo Social para Construir Ciudades Humanas,Curso,Posgrados y Educacion Continua,Presencial en Campus Monterrey,24 horas,Variable
Visión Comercial a Futuro (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Visión Contable (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Visión Financiera (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Visión Financiera Corporativa (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Visión Financiera Estratégica (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable
Visión de Entorno Económico (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable
Visión de Riesgo y Suntentabilidad (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable
Visión de Ética Financiera (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable
Citizen Data Scientist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,92 horas,Variable
Data Scientist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,232 horas,Variable
Digital Marketing Strategist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,142 horas,Variable
Especialista en Finanzas (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable
High Impact Manager (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable
Marketing Starter (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,122 horas,Variable
Potential Leader (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable
Profesional Financiero (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,152 horas,Variable
Senior Data Scientist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,72 horas,Variable
Senior Leader (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable
Vendedor de Alto Impacto (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,122 horas,Variable
