Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo
Gestión de la Fuerza de Ventas,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Gestión de las Emociones,Seminario,Posgrados y Educacion Continua,En línea,11 horas,Mensual
Impuestos de las Operaciones Empresariales,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Innovación en la Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual
Integración Estratégica Multigeneracional,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual
Introducción a la Transformación Digital,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual
Introducción a las Finanzas,Seminario,Posgrados y Educacion Continua,En línea,60 horas,Mensual
Legislación Fiscal y Laboral en la Industria de la Construcción,Seminario,Posgrados y Educacion Continua,En línea,9 horas,Mensual
Liderazgo Eficaz,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Machine Learning para la Toma de Decisiones,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Negociación y Manejo de Conflictos,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Norma ISO 9001:2015,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Planeación de Proyectos de Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual
Proyecto de Vida Plena,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual
Psicología Positiva,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Supply Chain Management ,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual
Transformación Digital para la Toma de Decisiones,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual
Transición a una Cultura Organizacional Positiva,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual
Inteligencia Emocional,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,
Liderazgo y Empowerment ,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,
Negociación y Manejo de Conflictos,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,
Preparación para el Examen de Certificación PMP®,Taller,Posgrados y Educacion Continua,Aula Virtual,35 horas,
Coding Bootcamp,Bootcamp,,En línea ,480 horas,
Data Analytics Bootcamp,Bootcamp,,En línea ,700 horas,
ADN del Innovador (TLG),Curso,,Learning Gate,22 horas,
Accountability Skills (TLG),Curso,,Learning Gate,42 horas,
Administración de Costos,Curso,,Aula Virtual ,40 horas,
Administración de Inventarios,Curso,,Aula Virtual ,40 horas,
Agronomía para no Agrónomos,Curso,,Aula Virtual ,48 horas,
Análisis de Datos (TLG),Curso,,Learning Gate,32 horas,
Aplicaciones Web para Ciencia de Datos (TLG),Curso,,Learning Gate,12 horas,
Aplicación de la Legislación Ambiental,Curso,,Aula Virtual ,40 horas,
Aspectos Básicos de Ley General de Transparencia ,Curso,,Aula Virtual ,32 horas,
Automatic ML (TLG),Curso,,Learning Gate,12 horas,
Bioequivalencia: Aspectos Científicos y Regulatorios,Curso,,Aula Virtual ,30 horas,
Bioestadística Aplicada a Investigación Clínica e Industria,Curso,,Aula Virtual ,24 horas,
Brand Management ,Curso,,Live ,80 horas,
Colaboración Efectiva (TLG),Curso,,Learning Gate,32 horas,
Colaboración Organizacional (TLG),Curso,,Learning Gate,32 horas ,
Comunicación Digital y Social Media ,Curso,,Live ,90 horas,
Conceptos Fundamentales de Ciencia de Datos (TLG) ,Curso,,Learning Gate,22 horas,
Conducta y Comunicación Financiera (TLG),Curso,,Learning Gate,32 horas,
Core Strategic Marketing (TLG),Curso,,Learning Gate,42 horas,
Core Tools: Herramientas para la Manufactura,Curso,,Live ,50 horas,
Cultura hacia la Innovación (TLG),Curso,,Learning Gate,22 horas,
Customer Intelligence Essentials ,Curso,,Aula Virtual ,64 horas,
Deep Learning y Reinforcement Learning (TLG),Curso,,Learning Gate,22 horas,
Desarrollo de Supervisiones que Transforman ,Curso,,Aula Virtual ,48 horas,
Desarrollo de Talento (TLG),Curso,,Learning Gate,42 horas,
Design Thinking Workshop ,Curso,,Aula Virtual ,40 horas,
Digital Consumer (TLG),Curso,,Learning Gate,42 horas,
Digital Marketing Analytics (TLG),Curso,,Learning Gate,22 horas,
Digital Marketing Strategy (TLG),Curso,,Learning Gate,32 horas,
Digital Marketing Tactics (TLG),Curso,,Learning Gate,52 horas,
Diseñando Experiencias de Servicio Wow ,Curso,,Aula Virtual ,40 horas,
Diseño de Interfaces Visuales de Datos (TLG),Curso,,Learning Gate,32 horas,
Educación Digital de Calidad para Educación Superior ,Curso,,En línea,21 horas,
Emprendimiento Digital Innovador ,Curso,,Aula Virtual ,68 horas,
Enfoque Estratégico (TLG),Curso,,Learning Gate,22 horas,
Engagement (TLG) ,Curso,,Learning Gate,42 horas,
Estrategia Organizacional (TLG),Curso,,Learning Gate,22 horas,
Estrategías para una Comunicación Efectiva ,Curso,,Aula Virtual ,24 horas,
"Evaluación de los Estados Financieros, Inversión y Financiamiento (TLG)",Curso,,Learning Gate,32 horas,
Excel Avanzado para negocios ,Curso,,Aula Virtual ,40 horas,
Excel para Negocios,Curso,,Aula Virtual ,40 horas,
"Extracción, Procesamiento y Manipulación de Datos  (TLG)",Curso,,Learning Gate,22 horas,
"Feminismo: Historia, Teoría y Práctica. Por un Mundo sin Violencia de Género",Curso,,Aula Virtual ,12 horas,
Financial Planning and Risks (TLG),Curso,,Learning Gate,22 horas,
Financial System Vision (TLG),Curso,,Learning Gate,22 horas,
Finanzas para Recursos Humanos ,Curso,,Aula Virtual ,24 horas,
Finanzas para no Financieros ,Curso,,Aula Virtual ,40 horas,
Fundamentos de Ciencia de Datos (TLG) ,Curso,,Learning Gate,32 horas,
Fundamentos de Estadística para Ciencia de Datos (TLG) ,Curso,,Learning Gate,12 horas ,
Gestión de Cartera Comercial (TLG),Curso,,Learning Gate,42 horas,
Gestión de la Innovación (TLG),Curso,,Learning Gate,22 horas,
Gestión del Cambio (TLG),Curso,,Live ,80 horas,
Gobernanza e innovación para la gestión local,Curso,,Aula Virtual ,42 horas,
Historia del Arte Islámico,Curso,,Aula Virtual ,36 horas,
Historia del Arte Mexicano. Del Muralismo a la Postmodernidad,Curso,,Aula Virtual ,36 horas,
Historia del Arte: Arte Conceptual y Postmodernidad,Curso,,Aula Virtual ,36 horas,
Historia del Arte: Historia del Arte Antiguo,Curso,,Aula Virtual ,36 horas,
Historia del Arte: Historia del Arte Medieval,Curso,,Aula Virtual ,36 horas,
Historia del Arte: La Modernidad en el Arte,Curso,,Aula Virtual ,36 horas,
Inteligencia Comercial (TLG),Curso,,Learning Gate,42 horas,
Inteligencia Emocional y Financiera,Curso,,Aula Virtual ,30 horas,
Interfaces Visuales de Datos Interacticas (TLG),Curso,,Learning Gate,42 horas,
Inversión y Financiamiento (TLG),Curso,,Learning Gate,52 horas,
Invirtiendo en la Bolsa ,Curso,,Aula Virtual ,40 horas,
Ley Anti Lavado de Dinero y Manejo de Efectivo,Curso,,Aula Virtual ,40 horas,
Liderazgo Positivo (TLG) ,Curso,,Learning Gate,32 horas,
Liderazgo para la Innovación,Curso,,Live ,80 horas,
Liderazgo y Evaluación Comercial (TLG),Curso,,Learning Gate,22 horas,
Machine Learning (TLG),Curso,,Learning Gate,62 horas,
Machine Learning para Big Data (TLG),Curso,,Learning Gate,32 horas,
Marketing Metrics (TLG),Curso,,Learning Gate,22 horas,
Marketing Mix (TLG),Curso,,Learning Gate,42 horas,
Marketing for all (TLG),Curso,,Learning Gate,22 horas,
Medicamentos Biotecnológicos y Biocomparabilidad,Curso,,Aula Virtual ,48 horas,
Modelación Lineal de Datos (TLG),Curso,,Learning Gate,12 horas,
Organizaciones Enfocadas en el Talento (TLG),Curso,,Learning Gate,42 horas,
Organizational Engagement (TLG),Curso,,Learning Gate,42 horas,
Organizational Wellbeing (TLG),Curso,,Learning Gate,22 horas,
Pensamiento Estratégico (TLG),Curso,,Learning Gate,22 horas,
Pensamiento de Futuros: Diseñando el Futuro de la Organización,Curso,,Aula Virtual ,40 horas,
Personal Wellbeing (TLG),Curso,,Learning Gate,22 horas,
Plataformas de Visualización en Python (TLG),Curso,,Learning Gate,22 horas,
Política educativa: sus desafíos urgentes en México,Curso,,Aula Virtual ,50 horas,
Preparación a la Certificación Disciplined Agile® Scrum Master (DASM),Curso,,Aula Virtual ,32 horas,
Preparación para el Examen de Certificación AMIB ,Curso,,Aula Virtual ,25 horas,
Preparación para la Certificación de AWS Cloud Practitioner,Curso,,Aula Virtual ,40 horas,
Procesamiento y Manejo de Datos con Python (TLG),Curso,,Learning Gate,22 horas,
Procesamiento y Manipulación de Datos con Python (TLG),Curso,,Learning Gate,32 horas,
Programación con Python ,Curso,,Aula Virtual ,30 horas,
Protección de Datos Personales ,Curso,,Aula Virtual ,35 horas,
Sensibilidad de Modelos Cuantitativos (TLG),Curso,,Learning Gate,22 horas,
Storytelling + Presentaciones Contundentes ,Curso,,Aula Virtual ,40 horas,
TPM Hands On Mantenimiento Autónomo y Planeado,Curso,,Aula Virtual ,56 horas,
Talent Management (TLG),Curso,,Learning Gate,42 horas,
Team Wellbeing (TLG),Curso,,Learning Gate,22 horas,
Tecnologías para Internet de las Cosas (IoT),Curso,,Aula Virtual ,48 horas,
Toxicología y Bioseguridad para Salud y Biotecnología,Curso,,Aula Virtual ,36 horas,
Urbanismo Social para Construir Ciudades Humanas,Curso,,Presencial en Campus Monterrey ,24 horas,
Visión Comercial a Futuro (TLG),Curso,,Learning Gate,22 horas,
Visión Contable (TLG),Curso,,Learning Gate,32 horas,
Visión Financiera (TLG),Curso,,Learning Gate,32 horas,
Visión Financiera Corporativa (TLG),Curso,,Learning Gate,22 horas,
Visión Financiera Estratégica (TLG),Curso,,Learning Gate,12 horas,
Visión de Entorno Económico (TLG),Curso,,Learning Gate,32 horas,
Visión de Riesgo y Suntentabilidad (TLG) ,Curso,,Learning Gate,22 horas,
Visión de Ética Financiera (TLG),Curso,,Learning Gate,12 horas,
Citizen Data Scientist (TLG),Trayectoria flexible,,Learning Gate,92 horas,
Data Scientist (TLG),Trayectoria flexible,,Learning Gate,232 horas,
Digital Marketing Strategist (TLG),Trayectoria flexible,,Learning Gate,142 horas,
Especialista en Finanzas (TLG),Trayectoria flexible,,Learning Gate,172 horas,
High Impact Manager (TLG),Trayectoria flexible,,Learning Gate,172 horas,
Marketing Starter (TLG),Trayectoria flexible,,Learning Gate,122 horas,
Potential Leader (TLG),Trayectoria flexible,,Learning Gate,172 horas,
Profesional Financiero (TLG),Trayectoria flexible,,Learning Gate,152 horas,
Senior Data Scientist (TLG),Trayectoria flexible,,Learning Gate,72 horas,
Senior Leader (TLG),Trayectoria flexible,,Learning Gate,172 horas,
Vendedor de Alto Impacto (TLG),Trayectoria flexible,,Learning Gate,122 horas,
