ID,Program name,Program Level,School,Location,Duration,Periodo,
,Introduction to Finance,Seminar,Graduate Studies and Continuing Education,Online,60 hours,Monthly,
,Tax and Labor Legislation in the Construction Industry,Seminar,Graduate Studies and Continuing Education,Online,9 hours,Monthly,
,Effective Leadership,Seminar,Graduate Studies and Continuing Education,Online,10 hours,Monthly,
,Machine Learning for Decision Making,Seminar,Graduate Studies and Continuing Education,Online,10 hours,Monthly,
,Negotiation and Conflict Management,Seminar,Graduate Studies and Continuing Education,Online,12 hours,Monthly,
,ISO 9001:2015 Standard,Seminar,Graduate Studies and Continuing Education,Online,12 hours,Monthly,
,Construction Project Planning,Seminar,Graduate Studies and Continuing Education,Online,50 hours,Monthly,
,Full Life Project,Seminar,Graduate Studies and Continuing Education,Online,15 hours,Monthly,
,Positive Psychology,Seminar,Graduate Studies and Continuing Education,Online,12 hours,Monthly,
,Supply Chain Management,Seminar,Graduate Studies and Continuing Education,Online,15 hours,Monthly,
,Digital Transformation for Decision Making,Seminar,Graduate Studies and Continuing Education,Online,30 hours,Monthly,
,Transition to a Positive Organizational Culture,Seminar,Graduate Studies and Continuing Education,Online,30 hours,Monthly,
,Emotional Intelligence,Workshop,Graduate Studies and Continuing Education,Virtual Classroom,24 hours,Variable,
,Leadership and Empowerment,Workshop,Graduate Studies and Continuing Education,Virtual Classroom,24 hours,Variable,
,Negotiation and Conflict Management,Workshop,Graduate Studies and Continuing Education,Virtual Classroom,24 hours,Variable,
,Preparation for the PMP® Certification Exam,Workshop,Graduate Studies and Continuing Education,Virtual Classroom,35 hours,Variable,
,Coding Bootcamp,Bootcamp,Graduate Studies and Continuing Education,Online,480 hours,Variable,
,Data Analytics Bootcamp,Bootcamp,Graduate Studies and Continuing Education,Online,700 hours,Variable,
,Innovator's DNA,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Accountability Skills,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Cost Management,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Inventory Management,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Agronomy for non-Agronomists,Course,Graduate Studies and Continuing Education,Virtual Classroom,48 hours,Variable,
,Data Analysis,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Web Applications for Data Science,Course,Graduate Studies and Continuing Education,Learning Gate,12 hours,Variable,
,Application of Environmental Legislation,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Basic Aspects of General Transparency Law,Course,Graduate Studies and Continuing Education,Virtual Classroom,32 hours,Variable,
,Automatic Machine Learning,Course,Graduate Studies and Continuing Education,Learning Gate,12 hours,Variable,
,Bioequivalence: Scientific and Regulatory Aspects,Course,Graduate Studies and Continuing Education,Virtual Classroom,30 hours,Variable,
,Biostatistics Applied to Clinical Research and Industry,Course,Graduate Studies and Continuing Education,Virtual Classroom,24 hours,Variable,
,Brand Management,Course,Graduate Studies and Continuing Education,Live,80 hours,Variable,
,Effective Collaboration,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Organizational Collaboration,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours ,Variable,
,Digital Communication and Social Media,Course,Graduate Studies and Continuing Education,Live,90 hours,Variable,
,Fundamental Concepts of Data Science,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Financial Behavior and Communication,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Core Strategic Marketing,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Core Tools: Tools for Manufacturing,Course,Graduate Studies and Continuing Education,Live,50 hours,Variable,
,Culture towards Innovation,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Customer Intelligence Essentials,Course,Graduate Studies and Continuing Education,Virtual Classroom,64 hours,Variable,
,Deep Learning and Reinforcement Learning,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Development of Supervisions that Transform,Course,Graduate Studies and Continuing Education,Virtual Classroom,48 hours,Variable,
,Talent Development,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Design Thinking Workshop,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Digital Consumer,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Digital Marketing Analytics,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Digital Marketing Strategy,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Digital Marketing Tactics,Course,Graduate Studies and Continuing Education,Learning Gate,52 hours,Variable,
,Designing Wow Service Experiences,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Design of Visual Data Interfaces,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Quality Digital Education for Higher Education,Course,Graduate Studies and Continuing Education,Online,21 hours,Variable,
,Innovative Digital Entrepreneurship,Course,Graduate Studies and Continuing Education,Virtual Classroom,68 hours,Variable,
,Strategic Focus,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Engagement,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Organizational Strategy,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Strategies for Effective Communication,Course,Graduate Studies and Continuing Education,Virtual Classroom,24 hours,Variable,
,Evaluation of Financial Statements; Investment and Financing,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Advanced Excel for business,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Excel for Business,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Extraction; Processing and Data Manipulation,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Feminism: History; Theory and Practice. For a World Without Gender Violence,Course,Graduate Studies and Continuing Education,Virtual Classroom,12 hours,Variable,
,Financial Planning and Risks,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Financial System Vision,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Finance for Human Resources,Course,Graduate Studies and Continuing Education,Virtual Classroom,24 hours,Variable,
,Finance for Non-Financials,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Fundamentals of Data Science,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Fundamentals of Statistics for Data Science,Course,Graduate Studies and Continuing Education,Learning Gate,12 hours ,Variable,
,Commercial Portfolio Management,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Innovation Management,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Change Management,Course,Graduate Studies and Continuing Education,Live,80 hours,Variable,
,Governance and innovation for local management,Course,Graduate Studies and Continuing Education,Virtual Classroom,42 hours,Variable,
,History of Islamic Art,Course,Graduate Studies and Continuing Education,Virtual Classroom,36 hours,Variable,
,History of Mexican Art. From Muralism to Postmodernity,Course,Graduate Studies and Continuing Education,Virtual Classroom,36 hours,Variable,
,Art History: Conceptual Art and Postmodernity,Course,Graduate Studies and Continuing Education,Virtual Classroom,36 hours,Variable,
,Art History: History of Ancient Art,Course,Graduate Studies and Continuing Education,Virtual Classroom,36 hours,Variable,
,Art History: Medieval Art History,Course,Graduate Studies and Continuing Education,Virtual Classroom,36 hours,Variable,
,Art History: Modernity in Art,Course,Graduate Studies and Continuing Education,Virtual Classroom,36 hours,Variable,
,Commercial Intelligence,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Emotional and Financial Intelligence,Course,Graduate Studies and Continuing Education,Virtual Classroom,30 hours,Variable,
,Interactive Visual Data Interfaces,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Investment and Financing,Course,Graduate Studies and Continuing Education,Learning Gate,52 hours,Variable,
,Investing in the Stock Market,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Anti Money Laundering and Cash Handling Law,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Positive Leadership,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Leadership for Innovation,Course,Graduate Studies and Continuing Education,Live,80 hours,Variable,
,Leadership and Commercial Evaluation,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Machine Learning,Course,Graduate Studies and Continuing Education,Learning Gate,62 hours,Variable,
,Machine Learning for Big Data,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Marketing Metrics,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Marketing Mix,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Marketing for all,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Bio-technological Medicines and Biocomparability,Course,Graduate Studies and Continuing Education,Virtual Classroom,48 hours,Variable,
,Linear Data Modeling,Course,Graduate Studies and Continuing Education,Learning Gate,12 hours,Variable,
,Talent Focused Organizations,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Organizational Engagement,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Organizational Wellbeing,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Strategic Thinking,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Future Thinking: Designing the Future of the Organization,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Personal Wellbeing,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Visualization Platforms in Python,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Educational policy: its urgent challenges in Mexico,Course,Graduate Studies and Continuing Education,Virtual Classroom,50 hours,Variable,
,Preparation for the Disciplined Agile® Scrum Master Certification,Course,Graduate Studies and Continuing Education,Virtual Classroom,32 hours,Variable,
,Preparation for the AMIB Certification Exam,Course,Graduate Studies and Continuing Education,Virtual Classroom,25 hours,Variable,
,Preparation for AWS Cloud Practitioner Certification,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,Processing and Data Management with Python,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Processing and Manipulation of Data with Python,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Programming with Python,Course,Graduate Studies and Continuing Education,Virtual Classroom,30 hours,Variable,
,Personal Data Protection,Course,Graduate Studies and Continuing Education,Virtual Classroom,35 hours,Variable,
,Sensitivity of Quantitative Models,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Storytelling + Powerful Presentations,Course,Graduate Studies and Continuing Education,Virtual Classroom,40 hours,Variable,
,TPM Hands On Autonomous and Planned Maintenance,Course,Graduate Studies and Continuing Education,Virtual Classroom,56 hours,Variable,
,Talent Management,Course,Graduate Studies and Continuing Education,Learning Gate,42 hours,Variable,
,Team Wellbeing,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Technologies for Internet of Things,Course,Graduate Studies and Continuing Education,Virtual Classroom,48 hours,Variable,
,Toxicology and Biosecurity for Health and Biotechnology,Course,Graduate Studies and Continuing Education,Virtual Classroom,36 hours,Variable,
,Social Urbanism to Build Human Cities,Course,Graduate Studies and Continuing Education,Campus Monterrey,24 hours,Variable,
,Future Commercial Vision,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Accounting Vision,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Financial Vision,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Corporate Financial Vision,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Strategic Financial Vision,Course,Graduate Studies and Continuing Education,Learning Gate,12 hours,Variable,
,Vision of Economic Environment,Course,Graduate Studies and Continuing Education,Learning Gate,32 hours,Variable,
,Risk Vision and Sustainability,Course,Graduate Studies and Continuing Education,Learning Gate,22 hours,Variable,
,Financial Ethics Vision,Course,Graduate Studies and Continuing Education,Learning Gate,12 hours,Variable,
,Citizen Data Scientist,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,92 hours,Variable,
,Data Scientist,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,232 hours,Variable,
,Digital Marketing Strategist,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,142 hours,Variable,
,Specialist in Finance,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,172 hours,Variable,
,High Impact Manager,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,172 hours,Variable,
,Marketing Starter,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,122 hours,Variable,
,Potential Leader,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,172 hours,Variable,
,Financial Professional,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,152 hours,Variable,
,Senior Data Scientist,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,72 hours,Variable,
,Senior Leader,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,172 hours,Variable,
,High Impact Seller,Flexible Pathway,Graduate Studies and Continuing Education,Learning Gate,122 hours,Variable,
